service_id,tab_index,col_index,value
shiftai,2,1,"オンライン・対面ハイブリッド"
shiftai,2,2,"<p class='compareTable__icon compareTable__icon--shape'><img alt='' src='img/icon/pain_face_blue.webp'/></p><span class='compareTable__descNum'>初級～中級</span>"
shiftai,2,3,"1回90分"
shiftai,3,1,"マンツーマン・グループ"
shiftai,3,2,"平日10:00～21:00<br/>土日10:00～18:00"
shiftai,3,3,"前日20時まで無料"
shiftai,4,1,"◎<br/>（24時間以内返信）"
shiftai,4,2,"○<br/>（提携企業紹介）"
shiftai,4,3,"○<br/>（30日間）"
dmmai,2,1,"完全オンライン"
dmmai,2,2,"<p class='compareTable__icon compareTable__icon--shape'><img alt='' src='img/icon/pain_face_blue.webp'/></p><span class='compareTable__descNum'>初級～上級</span>"
dmmai,2,3,"無期限"
dmmai,3,1,"マンツーマン・自習"
dmmai,3,2,"平日10:00～22:00<br/>土日10:00～19:00"
dmmai,3,3,"いつでも無料"
dmmai,4,1,"◎<br/>（無制限）"
dmmai,4,2,"○<br/>（提携企業紹介）"
dmmai,4,3,"◎<br/>（いつでも可能）"
samuraiai,2,1,"完全オンライン"
samuraiai,2,2,"<p class='compareTable__icon compareTable__icon--shape'><img alt='' src='img/icon/pain_face_blue.webp'/></p><span class='compareTable__descNum'>中級～上級</span>"
samuraiai,2,3,"1回60分"
samuraiai,3,1,"マンツーマン"
samuraiai,3,2,"平日9:00～22:00<br/>土日9:00～19:00"
samuraiai,3,3,"前日まで無料"
samuraiai,4,1,"◎<br/>（無制限）"
samuraiai,4,2,"◎<br/>（提携企業多数）"
samuraiai,4,3,"○<br/>（14日間）"
